SourceEntityPath;SourceEntityType;EntityLinkType;LinkedEntityPath;LinkedEntityType
\Modèle Objets Métier - MOM\Contrat\Informations de gestion\Eléments financiers\À utiliser Brut (M3 brut);\Univers\Univers\Univers\Univers\Terme métier;IsPartOfDimension;\Exigences de qualité\Actualité\EQ_Actualité : Mise à disposition de la donnée de ZDP/CFR à J+5 pour les usages risques en période d'arrêté de production de reporting;\Univers\Groupe de dimensions\Dimension
\Modèle Objets Métier - MOM\Contrat\Informations de gestion\Eléments financiers\À utiliser Net (M3 net);\Univers\Univers\Univers\Univers\Terme métier;IsPartOfDimension;\Exigences de qualité\Actualité\EQ_Actualité : Mise à disposition de la donnée de ZDP/CFR à J+5 pour les usages risques en période d'arrêté de production de reporting;\Univers\Groupe de dimensions\Dimension
\Modèle Objets Métier - MOM\Opportunité d'expérimentation\Acteurs\Accompagnateur Ideation Factory;\Univers\Univers\Univers\Terme métier;IsPartOfDimension;\Exigences de qualité\Actualité\EQ_Actualité : Mise à disposition de la donnée de ZDP/CFR à J+5 pour les usages risques en période d'arrêté de production de reporting;\Univers\Groupe de dimensions\Dimension
\Modèle Objets Métier - MOM\Opportunité d'expérimentation\Acteurs\Acteur référent;\Univers\Univers\Univers\Terme métier;IsPartOfDimension;\Exigences de qualité\Actualité\EQ_Actualité : Mise à disposition de la donnée de ZDP/CFR à J+5 pour les usages risques en période d'arrêté de production de reporting;\Univers\Groupe de dimensions\Dimension
\Modèle Objets Métier - MOM\Instrument Financier\Caractéristiques générales\Catégorisation\Action cotée;\Univers\Univers\Univers\Concept\Terme métier;IsPartOfDimension;\Exigences de qualité\Actualité\EQ_Actualité : Mise à disposition de la donnée de ZDP/CFR à J+5 pour les usages risques en période d'arrêté de production de reporting;\Univers\Groupe de dimensions\Dimension
\Modèle Objets Métier - MOM\Instrument Financier\Caractéristiques générales\Catégorisation\Action non cotée;\Univers\Univers\Univers\Concept\Terme métier;IsPartOfDimension;\Exigences de qualité\Actualité\EQ_Actualité : Mise à disposition de la donnée de ZDP/CFR à J+5 pour les usages risques en période d'arrêté de production de reporting;\Univers\Groupe de dimensions\Dimension
\Modèle Objets Métier - MOM\Instrument Financier\Caractéristiques générales\Hiérarchie instrument financier\Actions;\Univers\Univers\Univers\Concept\Terme métier;IsPartOfDimension;\Exigences de qualité\Actualité\EQ_Actualité : Mise à disposition de la donnée de ZDP/CFR à J+5 pour les usages risques en période d'arrêté de production de reporting;\Univers\Groupe de dimensions\Dimension
\Modèle Objets Métier - MOM\Coordonnée\Caractéristiques spécifiques\Coordonnées numériques\Adresse email;\Univers\Univers\Univers\Concept\Terme métier;IsPartOfDimension;\Exigences de qualité\Actualité\EQ_Actualité : Mise à disposition de la donnée de ZDP/CFR à J+5 pour les usages risques en période d'arrêté de production de reporting;\Univers\Groupe de dimensions\Dimension
\Modèle Objets Métier - MOM\Collaborateur\Caractéristiques Pré-Embauche\Candidat\Adresse email du candidat;\Univers\Univers\Univers\Concept\Terme métier;IsPartOfDimension;\Exigences de qualité\Actualité\EQ_Actualité : Mise à disposition de la donnée de ZDP/CFR à J+5 pour les usages risques en période d'arrêté de production de reporting;\Univers\Groupe de dimensions\Dimension
\Modèle Objets Métier - MOM\Collaborateur\Caractéristiques Collaborateur Interne\Informations collaborateur interne\Adresse email du collaborateur interne;\Univers\Univers\Univers\Univers\Terme métier;IsPartOfDimension;\Exigences de qualité\Actualité\EQ_Actualité : Mise à disposition de la donnée de ZDP/CFR à J+5 pour les usages risques en période d'arrêté de production de reporting;\Univers\Groupe de dimensions\Dimension
\Modèle Objets Métier - MOM\Collaborateur\Caractéristiques Collaborateur Interne\Informations collaborateur interne\Adresse postale du collaborateur interne;\Univers\Univers\Univers\Univers\Terme métier;IsPartOfDimension;\Exigences de qualité\Actualité\EQ_Actualité : Mise à disposition de la donnée de ZDP/CFR à J+5 pour les usages risques en période d'arrêté de production de reporting;\Univers\Groupe de dimensions\Dimension
\Modèle Objets Métier - MOM\Instrument Financier\Détention\Position\Amortissement capital;\Univers\Univers\Univers\Concept\Terme métier;IsPartOfDimension;\Exigences de qualité\Actualité\EQ_Actualité : Mise à disposition de la donnée de ZDP/CFR à J+5 pour les usages risques en période d'arrêté de production de reporting;\Univers\Groupe de dimensions\Dimension
\Modèle Objets Métier - MOM\Contrat\Caractéristiques spécifiques\Spécifique Garantie\Année d'écrêtement;\Univers\Univers\Univers\Concept\Terme métier;IsPartOfDimension;\Exigences de qualité\Actualité\EQ_Actualité : Mise à disposition de la donnée de ZDP/CFR à J+5 pour les usages risques en période d'arrêté de production de reporting;\Univers\Groupe de dimensions\Dimension
\Modèle Objets Métier - MOM\Collaborateur\Caractéristiques Pré-Embauche\Candidat\Annonces;\Univers\Univers\Univers\Concept\Terme métier;IsPartOfDimension;\Exigences de qualité\Actualité\EQ_Actualité : Mise à disposition de la donnée de ZDP/CFR à J+5 pour les usages risques en période d'arrêté de production de reporting;\Univers\Groupe de dimensions\Dimension
\Modèle Objets Métier - MOM\Opportunité d'expérimentation\Caractéristiques opportunité\Applicatifs éligibles;\Univers\Univers\Univers\Terme métier;IsPartOfDimension;\Exigences de qualité\Actualité\EQ_Actualité : Mise à disposition de la donnée de ZDP/CFR à J+5 pour les usages risques en période d'arrêté de production de reporting;\Univers\Groupe de dimensions\Dimension
\Modèle Objets Métier - MOM\Contrat\Caractéristiques spécifiques\Spécifique Assurance Export\Arriéré;\Univers\Univers\Univers\Concept\Terme métier;IsPartOfDimension;\Exigences de qualité\Actualité\EQ_Actualité : Mise à disposition de la donnée de ZDP/CFR à J+5 pour les usages risques en période d'arrêté de production de reporting;\Univers\Groupe de dimensions\Dimension
\Modèle Objets Métier - MOM\Collaborateur\Caractéristiques Collaborateur Interne\Informations collaborateur interne\Attestation de droit à la sécurité sociale;\Univers\Univers\Univers\Univers\Terme métier;IsPartOfDimension;\Exigences de qualité\Actualité\EQ_Actualité : Mise à disposition de la donnée de ZDP/CFR à J+5 pour les usages risques en période d'arrêté de production de reporting;\Univers\Groupe de dimensions\Dimension
