Donnée recherchée;KQI Informatica;Description KQI;Description du contrôle;Dimension qualité;Projet Informatica;Dossier Informatica;Profil Informatica;Source du profil;Chemin source;Champs contrôlés;Mapping d'entrée;Rule Specification;Description de la règle;Fréquence KQI;Criticité KQI;Seuil KQI;Cible KQI;Élément de rapprochement;ID KQI;ID profil FRS
Adresse de l'établissement lié à la contrepartie;KQI_RET_COH_Ecart_Adresse_CodePostal;Mesure la coherence de adresse de l'établissement lié à la contrepartie en comparant les champs CPOSTB et codepostalbd afin d'identifier les ecarts entre les sources ou applications controlees dans le profil PROFIL_BCPRET_ADRESSE_CLIENT_PP, alimente par M_BCPRET_adresse_client_pp.csv.;Non renseignée;Consistency;BPI_CDQ_RET;PROFIL;PROFIL_BCPRET_ADRESSE_CLIENT_PP;M_BCPRET_adresse_client_pp.csv;bpi-fr-dag-prod-raw-bucket/users%2F/ret%2F;CPOSTB | codepostalbd;NewInput2 <- CPOSTB | NewInput1 <- codepostalbd;RQ_RET_COH_Adresse_code_postal;règle d'écart entre les champs des codes postaux;Daily;High;0.0;0.0;"Nom du KQI: adresse ; Champs source: cpost ; Mapping d'entrée: cpost ; Rule Specification: adresse ; Profil: adresse ; Source: adresse";71de37bf-be3e-4d6b-98a2-c93850bf221c;3TWm9mm2bEAkjeYNZJ9WmI
Adresse de l'établissement lié à la contrepartie;KQI_RET_COH_Ecart_Adresse_Nom_Type_Voie;Mesure la coherence de adresse de l'établissement lié à la contrepartie en comparant les champs NTN_ADRESSE_BCP et ntn_adresse_ret afin d'identifier les ecarts entre les sources ou applications controlees dans le profil PROFIL_BCPRET_ADRESSE_CLIENT_PP, alimente par M_BCPRET_adresse_client_pp.csv.;Non renseignée;Consistency;BPI_CDQ_RET;PROFIL;PROFIL_BCPRET_ADRESSE_CLIENT_PP;M_BCPRET_adresse_client_pp.csv;bpi-fr-dag-prod-raw-bucket/users%2F/ret%2F;NTN_ADRESSE_BCP | ntn_adresse_ret;NewInput1 <- NTN_ADRESSE_BCP | NewInput2 <- ntn_adresse_ret;RQ_RET_COH_General;règle d'écart entre les champs entre RET et BCP;Daily;High;80.0;95.0;"Nom du KQI: adresse, typevoie ; Champs source: adresse ; Mapping d'entrée: adresse ; Profil: adresse ; Source: adresse";f4a1a78a-69f7-4d82-b1e8-9f6a335b829b;3TWm9mm2bEAkjeYNZJ9WmI
Adresse de l'établissement lié à la contrepartie;KQI_RET_COH_Ecart_Adresse_NumVoie;Mesure la coherence de adresse de l'établissement lié à la contrepartie en comparant les champs NOVOIEFULL et ligne1_cleaned afin d'identifier les ecarts entre les sources ou applications controlees dans le profil PROFIL_BCPRET_ADRESSE_CLIENT_PP, alimente par M_BCPRET_adresse_client_pp.csv.;Non renseignée;Consistency;BPI_CDQ_RET;PROFIL;PROFIL_BCPRET_ADRESSE_CLIENT_PP;M_BCPRET_adresse_client_pp.csv;bpi-fr-dag-prod-raw-bucket/users%2F/ret%2F;NOVOIEFULL | ligne1_cleaned;NewInput1 <- NOVOIEFULL | NewInput2 <- ligne1_cleaned;RQ_RET_COH_General;règle d'écart entre les champs entre RET et BCP;Daily;High;0.0;0.0;"Nom du KQI: adresse, numvoie ; Profil: adresse ; Source: adresse";f8eb64ce-75e5-4488-ad0f-1b0846728c60;3TWm9mm2bEAkjeYNZJ9WmI
Adresse de l'établissement lié à la contrepartie;KQI_RET_COH_Ecart_Adresse_TypeVoie;Mesure la coherence de adresse de l'établissement lié à la contrepartie en comparant les champs LTYVOI et ligne2_cleaned afin d'identifier les ecarts entre les sources ou applications controlees dans le profil PROFIL_BCPRET_ADRESSE_CLIENT_PP, alimente par M_BCPRET_adresse_client_pp.csv.;Non renseignée;Consistency;BPI_CDQ_RET;PROFIL;PROFIL_BCPRET_ADRESSE_CLIENT_PP;M_BCPRET_adresse_client_pp.csv;bpi-fr-dag-prod-raw-bucket/users%2F/ret%2F;LTYVOI | ligne2_cleaned;NewInput1 <- LTYVOI | NewInput2 <- ligne2_cleaned;RQ_RET_COH_General;règle d'écart entre les champs entre RET et BCP;Daily;High;0.0;0.0;"Nom du KQI: adresse, typevoie ; Profil: adresse ; Source: adresse";37eb58ce-28c9-4615-b91b-80f90588907a;3TWm9mm2bEAkjeYNZJ9WmI
Code agent économique;KQI_BCPRET_COH_Ecart_CodeAgeco;Mesure la coherence de code agent économique en verifiant que le champ REGLE_RET_COH_CODEAGECO ne presente pas d'ecart metier selon la regle RQ_RET_BCPRET_COH_ECART dans le profil PROFIL_RETBCP_FORME_CATEGORIE_JURIDIQUE_BAFI, alimente par CTL_RETBCP_FORME_CATEGORIE_JURIDIQUE_BAFI.csv.;Non renseignée;Consistency;BPI_CDQ_RETBCP;Profil;PROFIL_RETBCP_FORME_CATEGORIE_JURIDIQUE_BAFI;CTL_RETBCP_FORME_CATEGORIE_JURIDIQUE_BAFI.csv;bpi-fr-dag-prod-raw-bucket/CTLRET%2F;REGLE_RET_COH_CODEAGECO;NewInput1 <- REGLE_RET_COH_CODEAGECO;RQ_RET_BCPRET_COH_ECART;;Daily;High;0.0;1.0;"Nom du KQI: ageco ; Champs source: ageco ; Mapping d'entrée: ageco";d2ee7001-9fbf-4d85-96c3-ae192a20028f;4Qi9P376M7ii9rJtogcRaL
Code GICS;KQI_RET_COM_codegicsfk;Mesure la completude de code GICS en verifiant que les champs codegicsfk_ et codegicsfk_ est renseigne pour les enregistrements controles dans le profil Profil_RET_PersonneMorale, alimente par STG_EBX_REP_RET_PERSONNEMORALE.csv.;Non renseignée;Completeness;BPI_CDQ_RET;PROFIL;Profil_RET_PersonneMorale;STG_EBX_REP_RET_PERSONNEMORALE.csv;bpi-fr-dag-prod-raw-bucket/STGRET%2F/STG_EBX_REP_RET_PERSONNEMORALE%2F;codegicsfk_ | codegicsfk_;In_Field1 <- codegicsfk_ | In_Field1 <- codegicsfk_;RQ_CDQ_COM_check_not_null;Vérifie si l'entrée est nulle;Daily;High;82.0;97.0;"Nom du KQI: code gics ; Champs source: code gics ; Mapping d'entrée: code gics";a066ac99-8cd8-4661-96c2-32e3080819bf;6httAlz9ClTjkqtNHLAUGX
Code Produit;KQI_DVN_COM_code_produit_PV;Mesure la completude de code Produit en verifiant que le champ code_produit est renseigne pour les enregistrements controles dans le profil Profil_ESG_QCLIMAT_Prod_Verte, alimente par interventions.;Non renseignée;Completeness;BPI_CDQ_ESG;Profil;Profil_ESG_QCLIMAT_Prod_Verte;interventions;AwsDataCatalog/corp_esg_qclimat_production_verte;code_produit;In_Field1 <- code_produit;rs_check_input_is_not_null;Verifies if the input is null.;Daily;High;85.0;100.0;"Nom du KQI: code produit, produit ; Champs source: code produit, produit ; Mapping d'entrée: code produit, produit";1a5b2045-1442-47fb-8da4-b13af3aeef39;fdjdQN13eithmXHOcZ6mAK
Code Produit;KQI_RCT_COM_customer_agreement_legacy_product_code_PFA;Mesure la completude de code Produit en verifiant que le champ legacy_product_code est renseigne pour les enregistrements controles dans le profil Profile_RCT_PFA_customer_agreement, alimente par customer_agreement.;Non renseignée;Completeness;BPI_CDQ_RCT;PROFIL;Profile_RCT_PFA_customer_agreement;customer_agreement;AwsDataCatalog/database_pfa_prod;legacy_product_code;In_Field1 <- legacy_product_code;rs_check_input_is_not_null;Verifies if the input is null.;Daily;High;80.0;95.0;"Nom du KQI: product code, productcode ; Champs source: product code, productcode ; Mapping d'entrée: product code, productcode";1687c1bf-5345-4108-abb5-74caa9c4a120;6W6gpO2miOveidmHhbD2sv
Code Produit;KQI_RCT_COM_VUE_factures_pfa_legacy_product_code;Mesure la completude de code Produit en verifiant que le champ legacy_product_code est renseigne pour les enregistrements controles dans le profil Profile_RCT_PFA_vue_factures_pfa, alimente par vue_factures_pfa.;Non renseignée;Completeness;BPI_CDQ_RCT;PROFIL;Profile_RCT_PFA_vue_factures_pfa;vue_factures_pfa;AwsDataCatalog/database_pfa_prod;legacy_product_code;NewInput1 <- legacy_product_code;RQ_RCT_COH_notnull;Complétude  : vérifier que le champ est bien renseigné.;Daily;High;80.0;95.0;"Nom du KQI: product code, productcode ; Champs source: product code, productcode ; Mapping d'entrée: product code, productcode";66ab0ffb-4c32-4d59-8396-2b976e69a235;ajrmFdBWk3YdyFmZP2xNSf
Emissions équivalent CO2 d'une entreprise;KQI_ESG_COH_PAIN_carbonintensityofcompaniesinportfolio;Mesure la validite des emissions equivalent CO2 en verifiant que le champ carbonintensityofcompaniesinportfolio contient une valeur numerique inferieure a 5000 dans le profil Profil_ESG_PAIN_Principal_Adverse_Impact_vw_1, alimente par pain_principal_adverse_impact_vw.;Non renseignée;Validity;BPI_CDQ_ESG;Profil;Profil_ESG_PAIN_Principal_Adverse_Impact_vw_1;pain_principal_adverse_impact_vw;AwsDataCatalog/corp_esg_db_confidential_p;carbonintensityofcompaniesinportfolio;Input <- carbonintensityofcompaniesinportfolio;RQ_ESG_COH_inf5000;Est un chiffre et est inférieur à 5000;Daily;High;85.0;100.0;"Nom du KQI: carbon, carbonintensity ; Champs source: carbon, carbonintensity ; Mapping d'entrée: carbon, carbonintensity";dbb4d6e1-e198-4930-974e-edb5c689fa36;aMJdLTEObGjlL7xrhJfb2T
